County,Sex,Census Year,Statistic,value
State,Male,1891,Population at Each Census from 1841 to 2016 (Number),1728601
State,Male,1901,Population at Each Census from 1841 to 2016 (Number),1610085
State,Male,1911,Population at Each Census from 1841 to 2016 (Number),1589509
State,Male,1926,Population at Each Census from 1841 to 2016 (Number),1506889
State,Male,1936,Population at Each Census from 1841 to 2016 (Number),1520454
State,Male,1946,Population at Each Census from 1841 to 2016 (Number),1494877
State,Male,1951,Population at Each Census from 1841 to 2016 (Number),1506597
State,Male,1956,Population at Each Census from 1841 to 2016 (Number),1462928
State,Male,1961,Population at Each Census from 1841 to 2016 (Number),1416549
State,Male,1966,Population at Each Census from 1841 to 2016 (Number),1449032
State,Male,1971,Population at Each Census from 1841 to 2016 (Number),1495760
State,Male,1979,Population at Each Census from 1841 to 2016 (Number),1693272
State,Male,1981,Population at Each Census from 1841 to 2016 (Number),1729354
State,Male,1986,Population at Each Census from 1841 to 2016 (Number),1769690
State,Male,1991,Population at Each Census from 1841 to 2016 (Number),1753418
State,Male,1996,Population at Each Census from 1841 to 2016 (Number),1800232
State,Male,2002,Population at Each Census from 1841 to 2016 (Number),1946164
State,Male,2006,Population at Each Census from 1841 to 2016 (Number),2121171
State,Male,2011,Population at Each Census from 1841 to 2016 (Number),2272699
State,Male,2016,Population at Each Census from 1841 to 2016 (Number),2354428
State,Female,1841,Population at Each Census from 1841 to 2016 (Number),3306314
State,Female,1851,Population at Each Census from 1841 to 2016 (Number),2617079
State,Female,1861,Population at Each Census from 1841 to 2016 (Number),2233069
State,Female,1871,Population at Each Census from 1841 to 2016 (Number),2060719
State,Female,1881,Population at Each Census from 1841 to 2016 (Number),1957582
State,Female,1891,Population at Each Census from 1841 to 2016 (Number),1740093
State,Female,1901,Population at Each Census from 1841 to 2016 (Number),1611738
State,Female,1911,Population at Each Census from 1841 to 2016 (Number),1550179
State,Female,1926,Population at Each Census from 1841 to 2016 (Number),1465103
State,Female,1936,Population at Each Census from 1841 to 2016 (Number),1447966
State,Female,1946,Population at Each Census from 1841 to 2016 (Number),1460230
State,Female,1951,Population at Each Census from 1841 to 2016 (Number),1453996
State,Female,1956,Population at Each Census from 1841 to 2016 (Number),1435336
State,Female,1961,Population at Each Census from 1841 to 2016 (Number),1401792
State,Female,1966,Population at Each Census from 1841 to 2016 (Number),1434970
State,Female,1971,Population at Each Census from 1841 to 2016 (Number),1482488
State,Female,1979,Population at Each Census from 1841 to 2016 (Number),1674945
State,Female,1981,Population at Each Census from 1841 to 2016 (Number),1714051
State,Female,1986,Population at Each Census from 1841 to 2016 (Number),1770953
State,Female,1991,Population at Each Census from 1841 to 2016 (Number),1772301
State,Female,1996,Population at Each Census from 1841 to 2016 (Number),1825855
State,Female,2002,Population at Each Census from 1841 to 2016 (Number),1971039
State,Female,2006,Population at Each Census from 1841 to 2016 (Number),2118677
State,Female,2011,Population at Each Census from 1841 to 2016 (Number),2315553
State,Female,2016,Population at Each Census from 1841 to 2016 (Number),2407437
Carlow,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),86228
Carlow,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),68078
Carlow,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),57137
Carlow,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),51650
Carlow,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),46568
Carlow,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),40936
Carlow,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),37748
Carlow,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),36252
Carlow,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),34476
Carlow,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),34452
Carlow,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),34081
Carlow,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),34162
Carlow,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),33888
Carlow,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),33342
Carlow,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),33593
Carlow,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),34237
Carlow,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),38668
Carlow,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),39820
Carlow,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),40988
Carlow,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),40942
Carlow,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),41616
Carlow,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),46014
Carlow,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),50349
Carlow,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),54612
Carlow,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),56932
Carlow,Male,1841,Population at Each Census from 1841 to 2016 (Number),42428
Carlow,Male,1851,Population at Each Census from 1841 to 2016 (Number),33016
Carlow,Male,1861,Population at Each Census from 1841 to 2016 (Number),28139
Carlow,Male,1871,Population at Each Census from 1841 to 2016 (Number),25464
Carlow,Male,1881,Population at Each Census from 1841 to 2016 (Number),23078
Carlow,Male,1891,Population at Each Census from 1841 to 2016 (Number),20552
Carlow,Male,1901,Population at Each Census from 1841 to 2016 (Number),19009
Carlow,Male,1911,Population at Each Census from 1841 to 2016 (Number),18481
Carlow,Male,1926,Population at Each Census from 1841 to 2016 (Number),17802
Carlow,Male,1936,Population at Each Census from 1841 to 2016 (Number),18066
Carlow,Male,1946,Population at Each Census from 1841 to 2016 (Number),17702
Carlow,Male,1951,Population at Each Census from 1841 to 2016 (Number),17848
Carlow,Male,1956,Population at Each Census from 1841 to 2016 (Number),17666
Carlow,Male,1961,Population at Each Census from 1841 to 2016 (Number),17360
Carlow,Male,1966,Population at Each Census from 1841 to 2016 (Number),17320
Carlow,Male,1971,Population at Each Census from 1841 to 2016 (Number),17502
Carlow,Male,1979,Population at Each Census from 1841 to 2016 (Number),19743
Carlow,Male,1981,Population at Each Census from 1841 to 2016 (Number),20195
Carlow,Male,1986,Population at Each Census from 1841 to 2016 (Number),20816
Carlow,Male,1991,Population at Each Census from 1841 to 2016 (Number),20785
Carlow,Male,1996,Population at Each Census from 1841 to 2016 (Number),21086
Carlow,Male,2002,Population at Each Census from 1841 to 2016 (Number),23403
Carlow,Male,2006,Population at Each Census from 1841 to 2016 (Number),25611
Carlow,Male,2011,Population at Each Census from 1841 to 2016 (Number),27431
Carlow,Male,2016,Population at Each Census from 1841 to 2016 (Number),28465
Carlow,Female,1841,Population at Each Census from 1841 to 2016 (Number),43800
Carlow,Female,1851,Population at Each Census from 1841 to 2016 (Number),35062
Carlow,Female,1861,Population at Each Census from 1841 to 2016 (Number),28998
Carlow,Female,1871,Population at Each Census from 1841 to 2016 (Number),26186
Carlow,Female,1881,Population at Each Census from 1841 to 2016 (Number),23490
Carlow,Female,1891,Population at Each Census from 1841 to 2016 (Number),20384
Carlow,Female,1901,Population at Each Census from 1841 to 2016 (Number),18739
Carlow,Female,1911,Population at Each Census from 1841 to 2016 (Number),17771
Carlow,Female,1926,Population at Each Census from 1841 to 2016 (Number),16674
Carlow,Female,1936,Population at Each Census from 1841 to 2016 (Number),16386
Carlow,Female,1946,Population at Each Census from 1841 to 2016 (Number),16379
Carlow,Female,1951,Population at Each Census from 1841 to 2016 (Number),16314
Carlow,Female,1956,Population at Each Census from 1841 to 2016 (Number),16222
Carlow,Female,1961,Population at Each Census from 1841 to 2016 (Number),15982
Carlow,Female,1966,Population at Each Census from 1841 to 2016 (Number),16273
Carlow,Female,1971,Population at Each Census from 1841 to 2016 (Number),16735
Carlow,Female,1979,Population at Each Census from 1841 to 2016 (Number),18925
Carlow,Female,1981,Population at Each Census from 1841 to 2016 (Number),19625
Carlow,Female,1986,Population at Each Census from 1841 to 2016 (Number),20172
Carlow,Female,1991,Population at Each Census from 1841 to 2016 (Number),20157
Carlow,Female,1996,Population at Each Census from 1841 to 2016 (Number),20530
Carlow,Female,2002,Population at Each Census from 1841 to 2016 (Number),22611
Carlow,Female,2006,Population at Each Census from 1841 to 2016 (Number),24738
Carlow,Female,2011,Population at Each Census from 1841 to 2016 (Number),27181
Carlow,Female,2016,Population at Each Census from 1841 to 2016 (Number),28467
Dublin,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),372773
Dublin,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),405147
Dublin,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),410252
Dublin,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),405262
Dublin,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),418910
Dublin,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),419216
Dublin,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),448206
Dublin,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),477196
Dublin,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),505654
Dublin,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),586925
Dublin,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),636193
Dublin,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),693022
Dublin,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),705781
Dublin,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),718332
Dublin,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),795047
Dublin,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),852219
Dublin,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),983683
Dublin,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),1003164
Dublin,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),1021449
Dublin,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),1025304
Dublin,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),1058264
Dublin,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),1122821
Dublin,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),1187176
Dublin,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),1273069
Dublin,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),1347359
Dublin,Male,1841,Population at Each Census from 1841 to 2016 (Number),170930
Dublin,Male,1851,Population at Each Census from 1841 to 2016 (Number),187286
Dublin,Male,1861,Population at Each Census from 1841 to 2016 (Number),191435
Dublin,Male,1871,Population at Each Census from 1841 to 2016 (Number),188108
Dublin,Male,1881,Population at Each Census from 1841 to 2016 (Number),197740
Dublin,Male,1891,Population at Each Census from 1841 to 2016 (Number),197409
Dublin,Male,1901,Population at Each Census from 1841 to 2016 (Number),211786
Dublin,Male,1911,Population at Each Census from 1841 to 2016 (Number),226364
Dublin,Male,1926,Population at Each Census from 1841 to 2016 (Number),238995
Dublin,Male,1936,Population at Each Census from 1841 to 2016 (Number),277098
Dublin,Male,1946,Population at Each Census from 1841 to 2016 (Number),292205
Dublin,Male,1951,Population at Each Census from 1841 to 2016 (Number),326126
Dublin,Male,1956,Population at Each Census from 1841 to 2016 (Number),329627
Dublin,Male,1961,Population at Each Census from 1841 to 2016 (Number),335004
Dublin,Male,1966,Population at Each Census from 1841 to 2016 (Number),375692
Dublin,Male,1971,Population at Each Census from 1841 to 2016 (Number),406008
Dublin,Male,1979,Population at Each Census from 1841 to 2016 (Number),473104
Dublin,Male,1981,Population at Each Census from 1841 to 2016 (Number),482342
Dublin,Male,1986,Population at Each Census from 1841 to 2016 (Number),492279
Dublin,Male,1991,Population at Each Census from 1841 to 2016 (Number),492432
Dublin,Male,1996,Population at Each Census from 1841 to 2016 (Number),508966
Dublin,Male,2002,Population at Each Census from 1841 to 2016 (Number),544075
Dublin,Male,2006,Population at Each Census from 1841 to 2016 (Number),582557
Dublin,Male,2011,Population at Each Census from 1841 to 2016 (Number),619902
Dublin,Male,2016,Population at Each Census from 1841 to 2016 (Number),658371
Dublin,Female,1841,Population at Each Census from 1841 to 2016 (Number),201843
Dublin,Female,1851,Population at Each Census from 1841 to 2016 (Number),217861
Dublin,Female,1861,Population at Each Census from 1841 to 2016 (Number),218817
Dublin,Female,1871,Population at Each Census from 1841 to 2016 (Number),217154
Dublin,Female,1881,Population at Each Census from 1841 to 2016 (Number),221170
Dublin,Female,1891,Population at Each Census from 1841 to 2016 (Number),221807
Dublin,Female,1901,Population at Each Census from 1841 to 2016 (Number),236420
Dublin,Female,1911,Population at Each Census from 1841 to 2016 (Number),250832
Dublin,Female,1926,Population at Each Census from 1841 to 2016 (Number),266659
Dublin,Female,1936,Population at Each Census from 1841 to 2016 (Number),309827
Dublin,Female,1946,Population at Each Census from 1841 to 2016 (Number),343988
Dublin,Female,1951,Population at Each Census from 1841 to 2016 (Number),366896
Dublin,Female,1956,Population at Each Census from 1841 to 2016 (Number),376154
Dublin,Female,1961,Population at Each Census from 1841 to 2016 (Number),383328
Dublin,Female,1966,Population at Each Census from 1841 to 2016 (Number),419355
Dublin,Female,1971,Population at Each Census from 1841 to 2016 (Number),446211
Dublin,Female,1979,Population at Each Census from 1841 to 2016 (Number),510579
Dublin,Female,1981,Population at Each Census from 1841 to 2016 (Number),520822
Dublin,Female,1986,Population at Each Census from 1841 to 2016 (Number),529170
Dublin,Female,1991,Population at Each Census from 1841 to 2016 (Number),532872
Dublin,Female,1996,Population at Each Census from 1841 to 2016 (Number),549298
Dublin,Female,2002,Population at Each Census from 1841 to 2016 (Number),578746
Dublin,Female,2006,Population at Each Census from 1841 to 2016 (Number),604619
Dublin,Female,2011,Population at Each Census from 1841 to 2016 (Number),653167
Dublin,Female,2016,Population at Each Census from 1841 to 2016 (Number),688988
Kildare,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),114488
Kildare,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),95723
Kildare,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),90946
Kildare,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),83614
Kildare,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),75804
Kildare,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),70206
Kildare,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),63566
Kildare,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),66627
Kildare,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),58028
Kildare,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),57892
Kildare,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),64849
Kildare,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),66437
Kildare,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),65915
Kildare,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),64420
Kildare,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),66404
Kildare,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),71977
Kildare,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),97185
Kildare,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),104122
Kildare,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),116247
Kildare,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),122656
Kildare,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),134992
Kildare,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),163944
Kildare,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),186335
Kildare,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),210312
Kildare,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),222504
Kildare,Male,1841,Population at Each Census from 1841 to 2016 (Number),58030
Kildare,Male,1851,Population at Each Census from 1841 to 2016 (Number),48528
Kildare,Male,1861,Population at Each Census from 1841 to 2016 (Number),48960
Kildare,Male,1871,Population at Each Census from 1841 to 2016 (Number),44946
Kildare,Male,1881,Population at Each Census from 1841 to 2016 (Number),40701
Kildare,Male,1891,Population at Each Census from 1841 to 2016 (Number),38407
Kildare,Male,1901,Population at Each Census from 1841 to 2016 (Number),34703
Kildare,Male,1911,Population at Each Census from 1841 to 2016 (Number),37684
Kildare,Male,1926,Population at Each Census from 1841 to 2016 (Number),31987
Kildare,Male,1936,Population at Each Census from 1841 to 2016 (Number),31956
Kildare,Male,1946,Population at Each Census from 1841 to 2016 (Number),36057
Kildare,Male,1951,Population at Each Census from 1841 to 2016 (Number),36364
Kildare,Male,1956,Population at Each Census from 1841 to 2016 (Number),35069
Kildare,Male,1961,Population at Each Census from 1841 to 2016 (Number),34068
Kildare,Male,1966,Population at Each Census from 1841 to 2016 (Number),34829
Kildare,Male,1971,Population at Each Census from 1841 to 2016 (Number),37279
Kildare,Male,1979,Population at Each Census from 1841 to 2016 (Number),50666
Kildare,Male,1981,Population at Each Census from 1841 to 2016 (Number),53967
Kildare,Male,1986,Population at Each Census from 1841 to 2016 (Number),59542
Kildare,Male,1991,Population at Each Census from 1841 to 2016 (Number),62207
Kildare,Male,1996,Population at Each Census from 1841 to 2016 (Number),68007
Kildare,Male,2002,Population at Each Census from 1841 to 2016 (Number),82735
Kildare,Male,2006,Population at Each Census from 1841 to 2016 (Number),94190
Kildare,Male,2011,Population at Each Census from 1841 to 2016 (Number),104658
Kildare,Male,2016,Population at Each Census from 1841 to 2016 (Number),110546
Kildare,Female,1841,Population at Each Census from 1841 to 2016 (Number),56458
Kildare,Female,1851,Population at Each Census from 1841 to 2016 (Number),47195
Kildare,Female,1861,Population at Each Census from 1841 to 2016 (Number),41986
Kildare,Female,1871,Population at Each Census from 1841 to 2016 (Number),38668
Kildare,Female,1881,Population at Each Census from 1841 to 2016 (Number),35103
Kildare,Female,1891,Population at Each Census from 1841 to 2016 (Number),31799
Kildare,Female,1901,Population at Each Census from 1841 to 2016 (Number),28863
Kildare,Female,1911,Population at Each Census from 1841 to 2016 (Number),28943
Kildare,Female,1926,Population at Each Census from 1841 to 2016 (Number),26041
Kildare,Female,1936,Population at Each Census from 1841 to 2016 (Number),25936
Kildare,Female,1946,Population at Each Census from 1841 to 2016 (Number),28792
Kildare,Female,1951,Population at Each Census from 1841 to 2016 (Number),30073
Kildare,Female,1956,Population at Each Census from 1841 to 2016 (Number),30846
Kildare,Female,1961,Population at Each Census from 1841 to 2016 (Number),30352
Kildare,Female,1966,Population at Each Census from 1841 to 2016 (Number),31575
Kildare,Female,1971,Population at Each Census from 1841 to 2016 (Number),34698
Kildare,Female,1979,Population at Each Census from 1841 to 2016 (Number),46519
Kildare,Female,1981,Population at Each Census from 1841 to 2016 (Number),50155
Kildare,Female,1986,Population at Each Census from 1841 to 2016 (Number),56705
Kildare,Female,1991,Population at Each Census from 1841 to 2016 (Number),60449
Kildare,Female,1996,Population at Each Census from 1841 to 2016 (Number),66985
Kildare,Female,2002,Population at Each Census from 1841 to 2016 (Number),81209
Kildare,Female,2006,Population at Each Census from 1841 to 2016 (Number),92145
Kildare,Female,2011,Population at Each Census from 1841 to 2016 (Number),105654
Kildare,Female,2016,Population at Each Census from 1841 to 2016 (Number),111958
Kilkenny,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),202420
Kilkenny,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),158748
Kilkenny,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),124515
Kilkenny,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),109379
Kilkenny,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),99531
Kilkenny,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),87261
Kilkenny,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),79159
Kilkenny,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),74962
Kilkenny,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),70990
Kilkenny,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),68614
Kilkenny,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),66712
Kilkenny,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),65235
Kilkenny,Both sexes,1956,Population at Each Census from 1841 to 2016 (Number),64089
Kilkenny,Both sexes,1961,Population at Each Census from 1841 to 2016 (Number),61668
Kilkenny,Both sexes,1966,Population at Each Census from 1841 to 2016 (Number),60463
Kilkenny,Both sexes,1971,Population at Each Census from 1841 to 2016 (Number),61473
Kilkenny,Both sexes,1979,Population at Each Census from 1841 to 2016 (Number),69156
Kilkenny,Both sexes,1981,Population at Each Census from 1841 to 2016 (Number),70806
Kilkenny,Both sexes,1986,Population at Each Census from 1841 to 2016 (Number),73186
Kilkenny,Both sexes,1991,Population at Each Census from 1841 to 2016 (Number),73635
Kilkenny,Both sexes,1996,Population at Each Census from 1841 to 2016 (Number),75336
Kilkenny,Both sexes,2002,Population at Each Census from 1841 to 2016 (Number),80339
Kilkenny,Both sexes,2006,Population at Each Census from 1841 to 2016 (Number),87558
Kilkenny,Both sexes,2011,Population at Each Census from 1841 to 2016 (Number),95419
Kilkenny,Both sexes,2016,Population at Each Census from 1841 to 2016 (Number),99232
Kilkenny,Male,1841,Population at Each Census from 1841 to 2016 (Number),99114
Kilkenny,Male,1851,Population at Each Census from 1841 to 2016 (Number),76493
Kilkenny,Male,1861,Population at Each Census from 1841 to 2016 (Number),60317
Kilkenny,Male,1871,Population at Each Census from 1841 to 2016 (Number),52965
Kilkenny,Male,1881,Population at Each Census from 1841 to 2016 (Number),48971
Kilkenny,Male,1891,Population at Each Census from 1841 to 2016 (Number),43468
Kilkenny,Male,1901,Population at Each Census from 1841 to 2016 (Number),40095
Kilkenny,Male,1911,Population at Each Census from 1841 to 2016 (Number),38551
Kilkenny,Male,1926,Population at Each Census from 1841 to 2016 (Number),37084
Kilkenny,Male,1936,Population at Each Census from 1841 to 2016 (Number),36489
Kilkenny,Male,1946,Population at Each Census from 1841 to 2016 (Number),35464
Kilkenny,Male,1951,Population at Each Census from 1841 to 2016 (Number),34687
Kilkenny,Male,1956,Population at Each Census from 1841 to 2016 (Number),33927
Kilkenny,Male,1961,Population at Each Census from 1841 to 2016 (Number),32252
Kilkenny,Male,1966,Population at Each Census from 1841 to 2016 (Number),31390
Kilkenny,Male,1971,Population at Each Census from 1841 to 2016 (Number),31828
Kilkenny,Male,1979,Population at Each Census from 1841 to 2016 (Number),35688
Kilkenny,Male,1981,Population at Each Census from 1841 to 2016 (Number),36395
Kilkenny,Male,1986,Population at Each Census from 1841 to 2016 (Number),37325
Kilkenny,Male,1991,Population at Each Census from 1841 to 2016 (Number),37447
Kilkenny,Male,1996,Population at Each Census from 1841 to 2016 (Number),38144
Kilkenny,Male,2002,Population at Each Census from 1841 to 2016 (Number),40540
Kilkenny,Male,2006,Population at Each Census from 1841 to 2016 (Number),44263
Kilkenny,Male,2011,Population at Each Census from 1841 to 2016 (Number),47788
Kilkenny,Male,2016,Population at Each Census from 1841 to 2016 (Number),49533
Kilkenny,Female,1841,Population at Each Census from 1841 to 2016 (Number),103306
Kilkenny,Female,1851,Population at Each Census from 1841 to 2016 (Number),82255
Kilkenny,Female,1861,Population at Each Census from 1841 to 2016 (Number),64198
Kilkenny,Female,1871,Population at Each Census from 1841 to 2016 (Number),56414
Kilkenny,Female,1881,Population at Each Census from 1841 to 2016 (Number),50560
Kilkenny,Female,1891,Population at Each Census from 1841 to 2016 (Number),43793
Kilkenny,Female,1901,Population at Each Census from 1841 to 2016 (Number),39064
Kilkenny,Female,1911,Population at Each Census from 1841 to 2016 (Number),36411
Kilkenny,Female,1926,Population at Each Census from 1841 to 2016 (Number),33906
Kilkenny,Female,1936,Population at Each Census from 1841 to 2016 (Number),32125
Kilkenny,Female,1946,Population at Each Census from 1841 to 2016 (Number),31248
Kilkenny,Female,1951,Population at Each Census from 1841 to 2016 (Number),30548
Kilkenny,Female,1956,Population at Each Census from 1841 to 2016 (Number),30162
Kilkenny,Female,1961,Population at Each Census from 1841 to 2016 (Number),29416
Kilkenny,Female,1966,Population at Each Census from 1841 to 2016 (Number),29073
Kilkenny,Female,1971,Population at Each Census from 1841 to 2016 (Number),29645
Kilkenny,Female,1979,Population at Each Census from 1841 to 2016 (Number),33468
Kilkenny,Female,1981,Population at Each Census from 1841 to 2016 (Number),34411
Kilkenny,Female,1986,Population at Each Census from 1841 to 2016 (Number),35861
Kilkenny,Female,1991,Population at Each Census from 1841 to 2016 (Number),36188
Kilkenny,Female,1996,Population at Each Census from 1841 to 2016 (Number),37192
Kilkenny,Female,2002,Population at Each Census from 1841 to 2016 (Number),39799
Kilkenny,Female,2006,Population at Each Census from 1841 to 2016 (Number),43295
Kilkenny,Female,2011,Population at Each Census from 1841 to 2016 (Number),47631
Kilkenny,Female,2016,Population at Each Census from 1841 to 2016 (Number),49699
Laois,Both sexes,1841,Population at Each Census from 1841 to 2016 (Number),153930
Laois,Both sexes,1851,Population at Each Census from 1841 to 2016 (Number),111664
Laois,Both sexes,1861,Population at Each Census from 1841 to 2016 (Number),90650
Laois,Both sexes,1871,Population at Each Census from 1841 to 2016 (Number),79771
Laois,Both sexes,1881,Population at Each Census from 1841 to 2016 (Number),73124
Laois,Both sexes,1891,Population at Each Census from 1841 to 2016 (Number),64883
Laois,Both sexes,1901,Population at Each Census from 1841 to 2016 (Number),57417
Laois,Both sexes,1911,Population at Each Census from 1841 to 2016 (Number),54629
Laois,Both sexes,1926,Population at Each Census from 1841 to 2016 (Number),51540
Laois,Both sexes,1936,Population at Each Census from 1841 to 2016 (Number),50109
Laois,Both sexes,1946,Population at Each Census from 1841 to 2016 (Number),49697
Laois,Both sexes,1951,Population at Each Census from 1841 to 2016 (Number),48430
